tree_ID,species,DBH,height,COD_Status
1,Pb,45.7,24.25,1
2,Pb,40.0,21,1
3,Pb,37.3,17.5,1
4,Pb,31.9,19.5,1
5,Pb,31.3,21.25,1
6,Pb,30.0,19,1
7,Pb,10.5,11.2,1
8,Pb,8.6,10.2,1
9,Pb,13.1,14.3,1
10,Pb,11.9,17.3,1
11,Pb,9,8.9,1
12,Pb,13,8.8,1
13,Pb,37.3,17.5,1
14,Pb,31.9,19.5,1
15,Pb,31.3,21.25,1
16,Pb,30.0,19,1
17,Pb,26.3,23.2,1
18,Pb,15.3,19.3,1
1,Pb,45.7,24.25,1
2,Pb,40.0,21,1
3,Pb,37.3,17.5,1
4,Pb,31.9,19.5,1
5,Pb,31.3,21.25,1
6,Pb,30.0,19,1
7,Pb,10.5,11.2,1
8,Pb,8.6,10.2,1
9,Pb,13.1,14.3,1
10,Pb,11.9,17.3,1
11,Pb,9,8.9,1
12,Pb,13,8.8,1
13,Pb,37.3,17.5,1
14,Pb,31.9,19.5,1
15,Pb,31.3,21.25,1
16,Pb,30.0,19,1
17,Pb,26.3,23.2,1
18,Pb,15.3,19.3,1
13,Pb,37.3,17.5,1
4,Pb,31.9,19.5,1
5,Pb,31.3,21.25,1
6,Pb,30.0,19,1
7,Pb,10.5,11.2,1
8,Pb,8.6,10.2,1
9,Pb,13.1,14.3,1
10,Pb,11.9,17.3,1
11,Pb,9,8.9,1
12,Pb,13,8.8,1
13,Pb,37.3,17.5,1
14,Pb,31.9,19.5,1
15,Pb,31.3,21.25,1
16,Pb,30.0,19,1
17,Pb,26.3,23.2,1
18,Pb,15.3,19.3,1

