tree_ID,species,DBH,height,COD_Status
1,Pb,45.7,24.25,1
2,Pb,40,21,1
3,Pb,37.3,17.5,1
4,Pb,31.9,19.5,1
5,Pb,31.3,21.25,1
6,Pb,30,19,1
7,Pb,10.5,11.2,1
8,Pb,8.6,10.2,1
9,Pb,13.1,14.3,1
10,Pb,11.9,17.3,1
11,Pb,9,8.9,1
12,Pb,13,8.8,1
13,Pb,37.3,17.5,1
14,Pb,31.9,19.5,1
15,Pb,31.3,21.25,1
16,Pb,30,19,1
17,Pb,26.3,23.2,1
18,Pb,15.3,19.3,1
19,Pb,15.2,8.3,1
20,Pb,23.5,12.7,1
21,Pb,12.8,7.1,1
22,Pb,30.1,15.9,1
23,Pb,18.6,10.2,1
24,Pb,27.3,13.6,1
25,Pb,19.8,10.9,1
26,Pb,34.5,17.3,1
27,Pb,21.4,11.5,1
28,Pb,40.2,19.8,1
29,Pb,13.6,6.8,1
30,Pb,25.7,14.2,1
31,Pb,29.8,16.7,1
32,Pb,22.4,11.8,1
33,Pb,33.3,17,1
34,Pb,26.1,14.5,1
35,Pb,35.7,18.2,1
36,Pb,16.4,9.4,1
37,Pb,28.6,15.3,1
38,Pb,12.5,6.7,1
39,Pb,42.8,21.1,1
40,Pb,31.4,16.9,1
41,Pb,24.5,13.8,1
42,Pb,36.2,18.5,1
43,Pb,20.8,11.3,1
44,Pb,38.6,19.3,1
45,Pb,14.7,7.8,1
46,Pb,32.1,16.4,1
47,Pb,11.9,6.5,1
48,Pb,27.8,14.8,1
49,Pb,29.3,16.5,1
50,Pb,17.6,9.8,1
51,Pb,22.1,11.7,1
52,Pb,41.5,20.6,1
53,Pb,37.9,19,1
54,Pb,19.4,10.6,1
55,Pb,18.2,9.9,1
56,Pb,25.3,14,1
57,Pb,39.2,19.7,1
58,Pb,16.9,9.6,1
59,Pb,13.1,7.3,1
60,Pb,23.8,12.9,1
61,Pb,34.9,17.5,1
62,Pb,28.2,15.1,1
63,Pb,21.7,11.6,1
64,Pb,30.8,16.2,1
65,Pb,10.5,5.7,1
66,Pb,26.7,14.7,1
67,Pb,33.9,17.2,1
68,Pb,20.1,10.8,1
